"","State","Name","SSA State County Code","FIPS State County Code","County"
"34","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39590","42095","Northampton"
"35","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39600","42097","Northumberland"
"36","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39620","42101","Philadelphia"
"37","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39650","42107","Schuylkill"
"38","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39730","42121","Venango"
"39","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39750","42125","Washington"
"40","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39770","42129","Westmoreland"
"41","Pennsylvania","Pennsylvania Public School Employees Retirement Sy","39800","42133","York"
"42","Missouri","MISSOURI DEPARTMENT OF TRANSPORTATION","26250","29051","Cole"
"43","Ohio","Buckeye Health Plan - MyCare Ohio","36110","39023","Clark"
"44","Ohio","Buckeye Health Plan - MyCare Ohio","36170","39035","Cuyahoga"
"45","Ohio","Buckeye Health Plan - MyCare Ohio","36290","39057","Greene"
"46","Ohio","Buckeye Health Plan - MyCare Ohio","36480","39093","Lorain"
"47","Ohio","Buckeye Health Plan - MyCare Ohio","36490","39095","Lucas"
"48","Ohio","Buckeye Health Plan - MyCare Ohio","36580","39113","Montgomery"
"49","Arizona","Humana","03055","04012","La Paz"
"50","Arizona","Humana","03060","04013","Maricopa"
"51","Arizona","Humana","03070","04015","Mohave"
"52","Arizona","Humana","03090","04019","Pima"
"53","Arizona","Humana","03100","04021","Pinal"
"54","Arizona","Humana","03120","04025","Yavapai"
"55","Colorado","Humana","06000","08001","Adams"
"56","Colorado","Humana","06020","08005","Arapahoe"
"57","Colorado","Humana","06060","08013","Boulder"
"58","Colorado","Humana","06150","08031","Denver"
"59","Colorado","Humana","06170","08035","Douglas"
"60","Colorado","Humana","06200","08041","El Paso"
"61","Colorado","Humana","06210","08043","Fremont"
"62","Colorado","Humana","06290","08059","Jefferson"
"63","Colorado","Humana","06340","08069","Larimer"
"64","Colorado","Humana","06500","08101","Pueblo"
"65","Colorado","Humana","06590","08119","Teller"
"66","Colorado","Humana","06610","08123","Weld"
"67","Hawaii","Humana","12020","15003","Honolulu"
"68","Hawaii","Humana","12040","15007","Kauai"
"69","Hawaii","Humana","12050","15009","Maui"
"70","Illinois","Humana","14680","17119","Madison"
"71","Illinois","Humana","14900","17163","St. Clair"
"72","Iowa","Humana","16060","19013","Black Hawk"
"73","Iowa","Humana","16560","19113","Linn"
"74","Iowa","Humana","16760","19153","Polk"
"75","Iowa","Humana","16810","19163","Scott"
"76","Kansas","Humana","17450","20091","Johnson"
"77","Kansas","Humana","17860","20173","Sedgwick"
"78","Kansas","Humana","17880","20177","Shawnee"
"79","Kansas","Humana","17986","20209","Wyandotte"
"80","Missouri","Humana","26180","29037","Cass"
"81","Missouri","Humana","26230","29047","Clay"
"82","Missouri","Humana","26350","29071","Franklin"
"83","Missouri","Humana","26380","29077","Greene"
"84","Missouri","Humana","26470","29095","Jackson"
"85","Missouri","Humana","26490","29099","Jefferson"
"86","Missouri","Humana","26820","29165","Platte"
"87","Missouri","Humana","26910","29183","St. Charles"
"88","Missouri","Humana","26930","29187","St. Francois"
"89","Missouri","Humana","26940","29189","St. Louis"
"90","Missouri","Humana","26950","29510","St. Louis City"
"91","Missouri","Humana","26992","29221","Washington"
"92","Nebraska","Humana","28270","31055","Douglas"
"93","Nebraska","Humana","28540","31109","Lancaster"
"94","Nebraska","Humana","28760","31153","Sarpy"
"95","New Mexico","Humana","32000","35001","Bernalillo"
"96","New Mexico","Humana","32210","35043","Sandoval"
"97","New Mexico","Humana","32230","35047","San Miguel"
"98","New Mexico","Humana","32240","35049","Santa Fe"
"99","New Mexico","Humana","32300","35061","Valencia"
"100","South Dakota","Humana","43490","46099","Minnehaha"
"101","South Dakota","Humana","43510","46103","Pennington"
"102","Texas","Humana","45030","48007","Aransas"
"103","Texas","Humana","45060","48013","Atascosa"
"104","Texas","Humana","45090","48019","Bandera"
"105","Texas","Humana","45113","48025","Bee"
"106","Texas","Humana","45130","48029","Bexar"
"107","Texas","Humana","45170","48037","Bowie"
"108","Texas","Humana","45180","48039","Brazoria"
"109","Texas","Humana","45240","48061","Cameron"
"110","Texas","Humana","45260","48067","Cass"
"111","Texas","Humana","45310","48085","Collin"
"112","Texas","Humana","45320","48091","Comal"
"113","Texas","Humana","45390","48113","Dallas"
"114","Texas","Humana","45410","48121","Denton"
"115","Texas","Humana","45470","48139","Ellis"
"116","Texas","Humana","45480","48141","El Paso"
"117","Texas","Humana","45530","48157","Fort Bend"
"118","Texas","Humana","45550","48167","Galveston"
"119","Texas","Humana","45570","48183","Gregg"
"120","Texas","Humana","45581","48187","Guadalupe"
"121","Texas","Humana","45610","48201","Harris"
"122","Texas","Humana","45620","48203","Harrison"
"123","Texas","Humana","45631","48209","Hays"
"124","Texas","Humana","45640","48213","Henderson"
"125","Texas","Humana","45650","48215","Hidalgo"
"126","Texas","Humana","45700","48245","Jefferson"
"127","Texas","Humana","45711","48249","Jim Wells"
"128","Texas","Humana","45720","48251","Johnson"
"129","Texas","Humana","45730","48257","Kaufman"
"130","Texas","Humana","45731","48259","Kendall"
"131","Texas","Humana","45743","48273","Kleberg"
"132","Texas","Humana","45750","48277","Lamar"
"133","Texas","Humana","45757","48291","Liberty"
"134","Texas","Humana","45792","48325","Medina"
"135","Texas","Humana","45801","48339","Montgomery"
"136","Texas","Humana","45830","48355","Nueces"
"137","Texas","Humana","45840","48361","Orange"
"138","Texas","Humana","45879","48397","Rockwall"
"139","Texas","Humana","45881","48401","Rusk"
"140","Texas","Humana","45885","48409","San Patricio"
"141","Texas","Humana","45892","48423","Smith"
"142","Texas","Humana","45910","48439","Tarrant"
"143","Texas","Humana","45921","48449","Titus"
"144","Texas","Humana","45940","48453","Travis"
"145","Texas","Humana","45943","48459","Upshur"
"146","Texas","Humana","45970","48491","Williamson"
"147","Texas","Humana","45971","48493","Wilson"
"148","Texas","Humana","45973","48497","Wise"
"149","New York","Wellcare","33420","36061","New York"
"150","Alabama","Blue Cross and Blue Shield of Alabama","01000","01001","Autauga"
"151","Alabama","Blue Cross and Blue Shield of Alabama","01010","01003","Baldwin"
"152","Alabama","Blue Cross and Blue Shield of Alabama","01030","01007","Bibb"
"153","Alabama","Blue Cross and Blue Shield of Alabama","01040","01009","Blount"
"154","Alabama","Blue Cross and Blue Shield of Alabama","01060","01013","Butler"
"155","Alabama","Blue Cross and Blue Shield of Alabama","01070","01015","Calhoun"
"156","Alabama","Blue Cross and Blue Shield of Alabama","01080","01017","Chambers"
"157","Alabama","Blue Cross and Blue Shield of Alabama","01090","01019","Cherokee"
"158","Alabama","Blue Cross and Blue Shield of Alabama","01100","01021","Chilton"
"159","Alabama","Blue Cross and Blue Shield of Alabama","01150","01031","Coffee"
"160","Alabama","Blue Cross and Blue Shield of Alabama","01160","01033","Colbert"
"161","Alabama","Blue Cross and Blue Shield of Alabama","01190","01039","Covington"
"162","Alabama","Blue Cross and Blue Shield of Alabama","01210","01043","Cullman"
"163","Alabama","Blue Cross and Blue Shield of Alabama","01220","01045","Dale"
"164","Alabama","Blue Cross and Blue Shield of Alabama","01230","01047","Dallas"
"165","Alabama","Blue Cross and Blue Shield of Alabama","01240","01049","DeKalb"
"166","Alabama","Blue Cross and Blue Shield of Alabama","01250","01051","Elmore"
"167","Alabama","Blue Cross and Blue Shield of Alabama","01270","01055","Etowah"
"168","Alabama","Blue Cross and Blue Shield of Alabama","01280","01057","Fayette"
"169","Alabama","Blue Cross and Blue Shield of Alabama","01290","01059","Franklin"
"170","Alabama","Blue Cross and Blue Shield of Alabama","01300","01061","Geneva"
"171","Alabama","Blue Cross and Blue Shield of Alabama","01340","01069","Houston"
"172","Alabama","Blue Cross and Blue Shield of Alabama","01350","01071","Jackson"
"173","Alabama","Blue Cross and Blue Shield of Alabama","01360","01073","Jefferson"
"174","Alabama","Blue Cross and Blue Shield of Alabama","01380","01077","Lauderdale"
"175","Alabama","Blue Cross and Blue Shield of Alabama","01390","01079","Lawrence"
"176","Alabama","Blue Cross and Blue Shield of Alabama","01400","01081","Lee"
"177","Alabama","Blue Cross and Blue Shield of Alabama","01410","01083","Limestone"
"178","Alabama","Blue Cross and Blue Shield of Alabama","01440","01089","Madison"
"179","Alabama","Blue Cross and Blue Shield of Alabama","01450","01091","Marengo"
"180","Alabama","Blue Cross and Blue Shield of Alabama","01460","01093","Marion"
"181","Alabama","Blue Cross and Blue Shield of Alabama","01470","01095","Marshall"
"182","Alabama","Blue Cross and Blue Shield of Alabama","01480","01097","Mobile"
"183","Alabama","Blue Cross and Blue Shield of Alabama","01490","01099","Monroe"
"184","Alabama","Blue Cross and Blue Shield of Alabama","01500","01101","Montgomery"
"185","Alabama","Blue Cross and Blue Shield of Alabama","01510","01103","Morgan"
"186","Alabama","Blue Cross and Blue Shield of Alabama","01540","01109","Pike"
"187","Alabama","Blue Cross and Blue Shield of Alabama","01570","01115","St. Clair"
"188","Alabama","Blue Cross and Blue Shield of Alabama","01580","01117","Shelby"
"189","Alabama","Blue Cross and Blue Shield of Alabama","01600","01121","Talladega"
"190","Alabama","Blue Cross and Blue Shield of Alabama","01610","01123","Tallapoosa"
"191","Alabama","Blue Cross and Blue Shield of Alabama","01620","01125","Tuscaloosa"
"192","Alabama","Blue Cross and Blue Shield of Alabama","01630","01127","Walker"
"193","Alabama","Blue Cross and Blue Shield of Alabama","01640","01129","Washington"
"194","Alabama","Blue Cross and Blue Shield of Alabama","01660","01133","Winston"
"195","Montana","Blue Cross and Blue Shield of Montana","27060","30013","Cascade"
"196","Montana","Blue Cross and Blue Shield of Montana","27140","30029","Flathead"
"197","Montana","Blue Cross and Blue Shield of Montana","27150","30031","Gallatin"
"198","Montana","Blue Cross and Blue Shield of Montana","27230","30047","Lake"
"199","Montana","Blue Cross and Blue Shield of Montana","27240","30049","Lewis and Clark"
"200","Montana","Blue Cross and Blue Shield of Montana","27260","30053","Lincoln"
"201","Montana","Blue Cross and Blue Shield of Montana","27310","30063","Missoula"
"202","Montana","Blue Cross and Blue Shield of Montana","27400","30081","Ravalli"
"203","Montana","Blue Cross and Blue Shield of Montana","27550","30111","Yellowstone"
"204","Texas","Blue Cross and Blue Shield of Montana","45390","48113","Dallas"
"205","Georgia","Wellcare","11220","13051","Chatham"
"206","Georgia","Wellcare","11290","13067","Cobb"
"207","Georgia","Wellcare","11370","13089","DeKalb"
"208","Georgia","Wellcare","11470","13121","Fulton"
"209","Georgia","Wellcare","11530","13135","Gwinnett"
"210","Georgia","Wellcare","11700","13185","Lowndes"
"211","Georgia","Wellcare","11780","13215","Muscogee"
"212","Georgia","Wellcare","11840","13245","Richmond"
"213","Florida","Palm Beach PACE","10490","12099","Palm Beach"
"214","Massachusetts","Commonwealth Care Alliance Massachusetts","22020","25005","Bristol"
"215","Massachusetts","Commonwealth Care Alliance Massachusetts","22040","25009","Essex"
"216","Massachusetts","Commonwealth Care Alliance Massachusetts","22060","25011","Franklin"
"217","Massachusetts","Commonwealth Care Alliance Massachusetts","22070","25013","Hampden"
"218","Massachusetts","Commonwealth Care Alliance Massachusetts","22080","25015","Hampshire"
"219","Massachusetts","Commonwealth Care Alliance Massachusetts","22090","25017","Middlesex"
"220","Massachusetts","Commonwealth Care Alliance Massachusetts","22130","25021","Norfolk"
"221","Massachusetts","Commonwealth Care Alliance Massachusetts","22150","25023","Plymouth"
"222","Massachusetts","Commonwealth Care Alliance Massachusetts","22160","25025","Suffolk"
"223","Massachusetts","Commonwealth Care Alliance Massachusetts","22170","25027","Worcester"
"224","California","Blue Shield of California Promise Health Plan","05200","06037","Los Angeles"
"225","California","Blue Shield of California Promise Health Plan","05470","06073","San Diego"
"226","Alabama","VIVA Medicare","01000","01001","Autauga"
"227","Alabama","VIVA Medicare","01010","01003","Baldwin"
"228","Alabama","VIVA Medicare","01040","01009","Blount"
"229","Alabama","VIVA Medicare","01070","01015","Calhoun"
"230","Alabama","VIVA Medicare","01100","01021","Chilton"
"231","Alabama","VIVA Medicare","01200","01041","Crenshaw"
"232","Alabama","VIVA Medicare","01210","01043","Cullman"
"233","Alabama","VIVA Medicare","01250","01051","Elmore"
"234","Alabama","VIVA Medicare","01270","01055","Etowah"
"235","Alabama","VIVA Medicare","01360","01073","Jefferson"
"236","Alabama","VIVA Medicare","01400","01081","Lee"
"237","Alabama","VIVA Medicare","01440","01089","Madison"
"238","Alabama","VIVA Medicare","01480","01097","Mobile"
"239","Alabama","VIVA Medicare","01500","01101","Montgomery"
"240","Alabama","VIVA Medicare","01540","01109","Pike"
"241","Alabama","VIVA Medicare","01570","01115","St. Clair"
"242","Alabama","VIVA Medicare","01580","01117","Shelby"
"243","Alabama","VIVA Medicare","01600","01121","Talladega"
"244","Alabama","VIVA Medicare","01610","01123","Tallapoosa"
"245","Alabama","VIVA Medicare","01630","01127","Walker"
"246","Iowa","UnitedHealthcare","16060","19013","Black Hawk"
"247","Iowa","UnitedHealthcare","16560","19113","Linn"
"248","Iowa","UnitedHealthcare","16760","19153","Polk"
"249","Iowa","UnitedHealthcare","16770","19155","Pottawattamie"
"250","Iowa","UnitedHealthcare","16810","19163","Scott"
"251","Iowa","UnitedHealthcare","16890","19179","Wapello"
"252","Kansas","UnitedHealthcare","17860","20173","Sedgwick"
"253","Kansas","UnitedHealthcare","17986","20209","Wyandotte"
"254","Missouri","UnitedHealthcare","26380","29077","Greene"
"255","Missouri","UnitedHealthcare","26470","29095","Jackson"
"256","Missouri","UnitedHealthcare","26490","29099","Jefferson"
"257","Missouri","UnitedHealthcare","26940","29189","St. Louis"
"258","Missouri","UnitedHealthcare","26950","29510","St. Louis City"
"259","Nebraska","UnitedHealthcare","28270","31055","Douglas"
"260","Nebraska","UnitedHealthcare","28540","31109","Lancaster"
"261","Nebraska","UnitedHealthcare","28760","31153","Sarpy"
"262","Texas","Wellcare","45130","48029","Bexar"
"263","Texas","Wellcare","45310","48085","Collin"
"264","Texas","Wellcare","45390","48113","Dallas"
"265","Texas","Wellcare","45410","48121","Denton"
"266","Texas","Wellcare","45480","48141","El Paso"
"267","Texas","Wellcare","45530","48157","Fort Bend"
"268","Texas","Wellcare","45550","48167","Galveston"
"269","Texas","Wellcare","45600","48199","Hardin"
"270","Texas","Wellcare","45610","48201","Harris"
"271","Texas","Wellcare","45631","48209","Hays"
"272","Texas","Wellcare","45700","48245","Jefferson"
"273","Texas","Wellcare","45720","48251","Johnson"
"274","Texas","Wellcare","45801","48339","Montgomery"
"275","Texas","Wellcare","45840","48361","Orange"
"276","Texas","Wellcare","45910","48439","Tarrant"
"277","Texas","Wellcare","45940","48453","Travis"
"278","Texas","Wellcare","45970","48491","Williamson"
"279","Michigan","AmeriHealth Caritas VIP Care Plus","23490","26099","Macomb"
"280","Michigan","AmeriHealth Caritas VIP Care Plus","23810","26163","Wayne"
"281","Tennessee","UnitedHealthcare","44000","47001","Anderson"
"282","Tennessee","UnitedHealthcare","44040","47009","Blount"
"283","Tennessee","UnitedHealthcare","44050","47011","Bradley"
"284","Tennessee","UnitedHealthcare","44060","47013","Campbell"
"285","Tennessee","UnitedHealthcare","44090","47019","Carter"
"286","Tennessee","UnitedHealthcare","44120","47025","Claiborne"
"287","Tennessee","UnitedHealthcare","44140","47029","Cocke"
"288","Tennessee","UnitedHealthcare","44150","47031","Coffee"
"289","Tennessee","UnitedHealthcare","44170","47035","Cumberland"
"290","Tennessee","UnitedHealthcare","44180","47037","Davidson"
"291","Tennessee","UnitedHealthcare","44220","47045","Dyer"
"292","Tennessee","UnitedHealthcare","44260","47053","Gibson"
"293","Tennessee","UnitedHealthcare","44290","47059","Greene"
"294","Tennessee","UnitedHealthcare","44310","47063","Hamblen"
"295","Tennessee","UnitedHealthcare","44320","47065","Hamilton"
"296","Tennessee","UnitedHealthcare","44350","47071","Hardin"
"297","Tennessee","UnitedHealthcare","44360","47073","Hawkins"
"298","Tennessee","UnitedHealthcare","44440","47089","Jefferson"
"299","Tennessee","UnitedHealthcare","44450","47091","Johnson"
"300","Tennessee","UnitedHealthcare","44460","47093","Knox"
"301","Tennessee","UnitedHealthcare","44490","47099","Lawrence"
"302","Tennessee","UnitedHealthcare","44530","47107","McMinn"
"303","Tennessee","UnitedHealthcare","44560","47113","Madison"
"304","Tennessee","UnitedHealthcare","44590","47119","Maury"
"305","Tennessee","UnitedHealthcare","44610","47123","Monroe"
"306","Tennessee","UnitedHealthcare","44620","47125","Montgomery"
"307","Tennessee","UnitedHealthcare","44700","47141","Putnam"
"308","Tennessee","UnitedHealthcare","44720","47145","Roane"
"309","Tennessee","UnitedHealthcare","44740","47149","Rutherford"
"310","Tennessee","UnitedHealthcare","44750","47151","Scott"
"311","Tennessee","UnitedHealthcare","44770","47155","Sevier"
"312","Tennessee","UnitedHealthcare","44780","47157","Shelby"
"313","Tennessee","UnitedHealthcare","44810","47163","Sullivan"
"314","Tennessee","UnitedHealthcare","44820","47165","Sumner"
"315","Tennessee","UnitedHealthcare","44880","47177","Warren"
"316","Tennessee","UnitedHealthcare","44890","47179","Washington"
"317","Tennessee","UnitedHealthcare","44940","47189","Wilson"
"318","Arizona","UnitedHealthcare","03110","04023","Santa Cruz"
"319","Arizona","UnitedHealthcare","03120","04025","Yavapai"
"320","Arkansas","UnitedHealthcare","04030","05007","Benton"
"321","Arkansas","UnitedHealthcare","04150","05031","Craighead"
"322","Arkansas","UnitedHealthcare","04160","05033","Crawford"
"323","Arkansas","UnitedHealthcare","04170","05035","Crittenden"
"324","Arkansas","UnitedHealthcare","04220","05045","Faulkner"
"325","Arkansas","UnitedHealthcare","04250","05051","Garland"
"326","Arkansas","UnitedHealthcare","04340","05069","Jefferson"
"327","Arkansas","UnitedHealthcare","04420","05085","Lonoke"
"328","Arkansas","UnitedHealthcare","04460","05093","Mississippi"
"329","Arkansas","UnitedHealthcare","04570","05115","Pope"
"330","Arkansas","UnitedHealthcare","04590","05119","Pulaski"
"331","Arkansas","UnitedHealthcare","04620","05125","Saline"
"332","Arkansas","UnitedHealthcare","04650","05131","Sebastian"
"333","Arkansas","UnitedHealthcare","04690","05139","Union"
"334","Arkansas","UnitedHealthcare","04710","05143","Washington"
"335","Arkansas","UnitedHealthcare","04720","05145","White"
"336","Connecticut","UnitedHealthcare","07000","09001","Fairfield"
"337","Connecticut","UnitedHealthcare","07010","09003","Hartford"
"338","Connecticut","UnitedHealthcare","07020","09005","Litchfield"
"339","Connecticut","UnitedHealthcare","07030","09007","Middlesex"
"340","Connecticut","UnitedHealthcare","07040","09009","New Haven"
"341","Connecticut","UnitedHealthcare","07050","09011","New London"
"342","Connecticut","UnitedHealthcare","07060","09013","Tolland"
"343","Connecticut","UnitedHealthcare","07070","09015","Windham"
"344","Idaho","UnitedHealthcare","13000","16001","Ada"
"345","Idaho","UnitedHealthcare","13130","16027","Canyon"
"346","Illinois","UnitedHealthcare","14141","17031","Cook"
"347","Illinois","UnitedHealthcare","14250","17043","DuPage"
"348","Illinois","UnitedHealthcare","14530","17089","Kane"
"349","Illinois","UnitedHealthcare","14570","17097","Lake"
"350","Illinois","UnitedHealthcare","14680","17119","Madison"
"351","Illinois","UnitedHealthcare","14890","17161","Rock Island"
"352","Illinois","UnitedHealthcare","14900","17163","St. Clair"
"353","Illinois","UnitedHealthcare","14989","17197","Will"
"354","Illinois","UnitedHealthcare","14991","17201","Winnebago"
"355","Indiana","UnitedHealthcare","15010","18003","Allen"
"356","Indiana","UnitedHealthcare","15170","18035","Delaware"
"357","Indiana","UnitedHealthcare","15190","18039","Elkhart"
"358","Indiana","UnitedHealthcare","15260","18053","Grant"
"359","Indiana","UnitedHealthcare","15440","18089","Lake"
"360","Indiana","UnitedHealthcare","15470","18095","Madison"
"361","Indiana","UnitedHealthcare","15480","18097","Marion"
"362","Indiana","UnitedHealthcare","15700","18141","St. Joseph"
"363","Indiana","UnitedHealthcare","15810","18163","Vanderburgh"
"364","Maine","UnitedHealthcare","20000","23001","Androscoggin"
"365","Maine","UnitedHealthcare","20020","23005","Cumberland"
"366","Maine","UnitedHealthcare","20050","23011","Kennebec"
"367","Maine","UnitedHealthcare","20080","23017","Oxford"
"368","Maine","UnitedHealthcare","20090","23019","Penobscot"
"369","Maine","UnitedHealthcare","20150","23031","York"
"370","Michigan","UnitedHealthcare","23810","26163","Wayne"
"371","Missouri","UnitedHealthcare","26100","29021","Buchanan"
"372","Missouri","UnitedHealthcare","26110","29023","Butler"
"373","Missouri","UnitedHealthcare","26340","29069","Dunklin"
"374","Missouri","UnitedHealthcare","26480","29097","Jasper"
"375","New Hampshire","UnitedHealthcare","30050","33011","Hillsborough"
"376","New Hampshire","UnitedHealthcare","30070","33015","Rockingham"
"377","New Mexico","UnitedHealthcare","32000","35001","Bernalillo"
"378","New Mexico","UnitedHealthcare","32060","35013","Dona Ana"
"379","New Mexico","UnitedHealthcare","32080","35017","Grant"
"380","New Mexico","UnitedHealthcare","32140","35029","Luna"
"381","New Mexico","UnitedHealthcare","32240","35049","Santa Fe"
"382","New Mexico","UnitedHealthcare","32300","35061","Valencia"
"383","Oregon","UnitedHealthcare","38020","41005","Clackamas"
"384","Oregon","UnitedHealthcare","38190","41039","Lane"
"385","Oregon","UnitedHealthcare","38210","41043","Linn"
"386","Oregon","UnitedHealthcare","38230","41047","Marion"
"387","Oregon","UnitedHealthcare","38250","41051","Multnomah"
"388","Oregon","UnitedHealthcare","38330","41067","Washington"
"389","South Carolina","UnitedHealthcare","42010","45003","Aiken"
"390","South Carolina","UnitedHealthcare","42030","45007","Anderson"
"391","South Carolina","UnitedHealthcare","42060","45013","Beaufort"
"392","South Carolina","UnitedHealthcare","42070","45015","Berkeley"
"393","South Carolina","UnitedHealthcare","42090","45019","Charleston"
"394","South Carolina","UnitedHealthcare","42130","45027","Clarendon"
"395","South Carolina","UnitedHealthcare","42140","45029","Colleton"
"396","South Carolina","UnitedHealthcare","42150","45031","Darlington"
"397","South Carolina","UnitedHealthcare","42160","45033","Dillon"
"398","South Carolina","UnitedHealthcare","42170","45035","Dorchester"
"399","South Carolina","UnitedHealthcare","42200","45041","Florence"
"400","South Carolina","UnitedHealthcare","42210","45043","Georgetown"
"401","South Carolina","UnitedHealthcare","42220","45045","Greenville"
"402","South Carolina","UnitedHealthcare","42250","45051","Horry"
"403","South Carolina","UnitedHealthcare","42270","45055","Kershaw"
"404","South Carolina","UnitedHealthcare","42280","45057","Lancaster"
"405","South Carolina","UnitedHealthcare","42290","45059","Laurens"
"406","South Carolina","UnitedHealthcare","42310","45063","Lexington"
"407","South Carolina","UnitedHealthcare","42330","45067","Marion"
"408","South Carolina","UnitedHealthcare","42340","45069","Marlboro"
"409","South Carolina","UnitedHealthcare","42360","45073","Oconee"
"410","South Carolina","UnitedHealthcare","42370","45075","Orangeburg"
"411","South Carolina","UnitedHealthcare","42380","45077","Pickens"
"412","South Carolina","UnitedHealthcare","42390","45079","Richland"
"413","South Carolina","UnitedHealthcare","42410","45083","Spartanburg"
"414","South Carolina","UnitedHealthcare","42420","45085","Sumter"
"415","South Carolina","UnitedHealthcare","42440","45089","Williamsburg"
"416","South Carolina","UnitedHealthcare","42450","45091","York"
"417","Utah","UnitedHealthcare","46170","49035","Salt Lake"
"418","Utah","UnitedHealthcare","46240","49049","Utah"
"419","Utah","UnitedHealthcare","46280","49057","Weber"
"420","Vermont","UnitedHealthcare","47030","50007","Chittenden"
"421","West Virginia","UnitedHealthcare","51050","54011","Cabell"
"422","West Virginia","UnitedHealthcare","51190","54039","Kanawha"
"423","West Virginia","UnitedHealthcare","51270","54055","Mercer"
"424","Kentucky","Humana","18070","21015","Boone"
"425","Kentucky","Humana","18180","21037","Campbell"
"426","Kentucky","Humana","18400","21081","Grant"
"427","Kentucky","Humana","18580","21117","Kenton"
"428","Michigan","UnitedHealthcare","23620","26125","Oakland"
"429","Wisconsin","UnitedHealthcare","52000","55001","Adams"
"430","Wisconsin","UnitedHealthcare","52040","55009","Brown"
"431","Wisconsin","UnitedHealthcare","52070","55015","Calumet"
"432","Wisconsin","UnitedHealthcare","52120","55025","Dane"
"433","Wisconsin","UnitedHealthcare","52130","55027","Dodge"
"434","Wisconsin","UnitedHealthcare","52190","55039","Fond du Lac"
"435","Wisconsin","UnitedHealthcare","52270","55055","Jefferson"
"436","Wisconsin","UnitedHealthcare","52280","55057","Juneau"
"437","Wisconsin","UnitedHealthcare","52290","55059","Kenosha"
"438","Wisconsin","UnitedHealthcare","52300","55061","Kewaunee"
"439","Wisconsin","UnitedHealthcare","52310","55063","La Crosse"
"440","Wisconsin","UnitedHealthcare","52350","55071","Manitowoc"
"441","Wisconsin","UnitedHealthcare","52360","55073","Marathon"
"442","Wisconsin","UnitedHealthcare","52370","55075","Marinette"
